"date_time","channel","sp_title","original_title","year","genre","country","length","description","director","writer","photography","music","producer","production_company","actors"
"2022-10-21 00:34:00","laSexta","Un extraño en mi casa","Christmas homecoming","2017","Romántica","Estados Unidos","82","Jim es un sargento mayor del ejercito norteamericano que regresa herido de Afganistán y alquila una casa a Amanda, una viuda de otro militar que después de dos años no ha superado su muerte.","Paul A. Kaufman","Donald Martin, Todd Messegee",NA,NA,NA,"Lighthouse Pictures","Julie Benz, Michael Shanks, Kirsten Robek, Farryn VanHumbeck"
"2022-10-21 00:48:00","Paramount Network","48 horas más","Another 48 Hrs.","1990","Suspense / Thriller","Estados Unidos","95","Reggie y Jack tienen que encontrar juntos a un traficante de droga que se hace llamar The Icemen. El problema es que deberán resolver el caso en tan sólo 48 horas. Ocho años después del éxito de ''Límite: 48 horas'', el director Walter Hill realizó una secuela bajo los mismos parámetros que habían alumbrado la película original. Reuniendo de nuevo los mismos protagonistas, Nick Nolte y Eddie Murphy, ''48 horas más'', sin embargo, no obtuvo el mismo éxito. Si en la primera, Hill planteó un thriller policiaco que había llevado a la fama a Eddie Murphy, en la segunda se incrementó el carácter cómico de la pareja, repitiendo prácticamente el mismo esquema argumental. En todo caso, la película es una historia plagada de secuencias de acción, que recuerdan a otros trabajos del realizador, como ''Danko: Calor rojo''.","Walter Hill","Eddie Murphy, John Fasano, Jeb Stuart, Larry Gross","Matthew F. Leonetti","James Horner","Lawrence Gordon , Robert D. Wachs","Paramount Pictures","Eddie Murphy, Nick Nolte, Brion James , Kevin Tighe, Ed O'Ross, David Anthony Marshall, Andrew Divoff, Bernie Casey, Brent Jennings"
"2022-10-21 00:51:00","Neox","Conan, el destructor","Conan the Destroyer","1984","Acción","Estados Unidos","103","La reina Taramis recurre a Conan para encomendarle una peligrosa misión: acompañar a la princesa Jehnna en un largo viaje para el que nació predestinada. Su objetivo es recuperar una joya que se encuentra en los dominios de un poderoso brujo. Segunda entrega fílmica de las aventuras del héroe creado por Robert E. Howard y que vuelve a estar protagonizada por una de las estrellas del género de acción, Arnold Schwarzenegger. La historia está plagada de bellas mujeres, monstruos, malvados magos, ladrones aventureros y épicas batallas, tal y como el propio Howard escribiese en sus relatos, hecho que fue del agrado de los seguidores del escritor estadounidense. A modo de curiosidad, destacar que el papel de Bombataa lo interpreta el mítico jugador de baloncesto Wilt Chamberlain, el único hombre que ha anotado 100 puntos en un solo partido, en el que es su primer y único trabajo cinematográfico. Dada su estatura (2,16 metros), el equipo de producción tardó en encontrar un caballo que Chamberlain pudiera montar sin que le llegaran los pies al suelo. Finalmente, encontraron un espécimen lo suficientemente grande en España.","Richard Fleischer","Stanley Mann , Gerry Conway, Roy Thomas","Jack Cardiff","Basil Poledouris","Raffaella De Laurentiis","Dino De Laurentiis Company , Edward R. Pressman Film Corporation","Arnold Schwarzenegger, Grace Jones, Wilt Chamberlain, Sarah Douglas , Olivia d'Abo, Mako"
"2022-10-21 01:30:00","Antena 3","El caso Hartman","Murder on Pleasant Drive","2006","Drama",NA,"88","Fran Smith, una mujer alegre y vital, contrae matrimonio con John, un tipo al que apenas conoce. Tras la boda, se trasladan a vivir a Nueva Jersey. Sin embargo, poco tiempo después de instalarse, Fran desaparece misteriosamente. Dispuestas a aclarar la desesperante e inexplicable situación, su hija Deanna y su hermana Sherrie deciden investigar por su cuenta. Los televisivos Adam Arkin (''Chicago Hope'') y Kelli Williams (''El abogado''), acompañados de la actriz Amy Madigan (esposa del también actor Ed Harris), protagonizan este drama basado en una novela de Sherrie Davis y rodado directamente para la pequeña pantalla.","Michael Scott","Walter Klenhard","Adam Sliwinski","Philip Giffin","Harvey Kahn","Dan Wigutow Productions","Adam Arkin, Kelli Williams , Amy Madigan, Laurie Murdoch, Christie Will Wolf"
"2022-10-21 04:30:00","La 2","La expulsión de los moriscos","Expulsados 1609, la tragedia de los moriscos","2009","Documental","España","60","En 1609, el rey Felipe III tomó una de las decisiones más polémicas de la historia de España: la expulsión de los moriscos. Gracias a este documental, es posible descubrir cómo se llevó a cabo una purga de tal magnitud, así como quiénes eran realmente los moriscos.","Miguel Eduardo Lopez Lorca","Xavier Ruzafa, Roger Sogues",NA,NA,NA,"Sagrera TV , Televisión Española (TVE) , TVC Televisió de Catalunya",NA
"2022-10-21 05:25:00","Paramount Network","Querido fotogramas","Querido fotogramas","2018","Documentales","España","76","Actores, directores, periodistas y críticos del mundo del cine se embarcan, a través de las cartas de Mr. Belvedere, en un emocionante viaje por la historia del cine español. Para celebrar el 70 aniversario de la revista ''Fotogramas'', ''Querido fotogramas'' se centra en las cartas que los lectores han enviado a la publicación durante todos estos años. Entre los famosos que encontramos en este documental encontramos a Isabel Coixet, Belén Rueda, Javier Bardem, José Sacristán o Concha Velasco, entre otras caras conocidas. El encargado de escribir y dirigir este homenaje es Sergio Oksman, realizador premiado por sus trabajos en Festivales como el de Buenos Aires, Karlovy Vary o Clermont-Ferrand. También obtuvo el Goya a Mejor Cortometraje Documental por ''A Story for the Modlins'' en 2012. ''Fotogramas'' es una revista española de periodicidad mensual que trata todos los aspectos del mundo del cine. Su primer número se publicó el 15 de noviembre de 1946 de la mano del matrimonio formado por Antonio Nadal-Rodó y María Fernanda Gañán.","Sergio Oksman","Sergio Oksman","Santiago Racaj","Lisandro Rodríguez","Elvira Morales Sales, Jesus Ulled Nadal","Cine365 Films , DZ Largometrajes y Audiovisuales , Virtual Contenidos",NA
"2022-10-21 12:45:00","La 2","Tierra sagrada","Sacred Ground","1983","Western","Estados Unidos","100","Año 1861, Oregón, un hombre de montaña y su esposa nativa americana viven en una cabaña construida sobre un lugar sepulcral de Paiute, que conduce a una violenta disputa con la tribu local.","Charles B. Pierce",NA,NA,NA,NA,"Wilderness Family Inc.","Tim McIntire, L.Q. Jones, Jack Elam, Mindi Miller, Eloy Casados"
"2022-10-21 16:00:00","TRECE","Tora! Tora! Tora!","Tora! Tora! Tora!","1970","Histórica",NA,"144","En 1941, las relaciones entre EE.UU. y Japón llegan a un punto de máxima tensión cuando los militares norteamericanos detectan un gran movimiento de buques de guerra nipones en el sur del Pacífico. El 7 de diciembre de este año, el ejército japonés ataca por sorpresa la base militar de Pearl Harbor, en Hawai, causando miles de bajas en las filas estadounidenses. La respuesta de EE.UU. a este ataque supuso su entrada en la II Guerra Mundial. Esta producción conjunta de la 20th Century Fox y la compañía nipona Toei intenta reconstruir el ataque japonés a Pearl Harbour teniendo en cuenta los puntos de vista de ambos bandos. Richard Fleischer ofrece la visión norteamericana de los hechos, mientras Kinji Fukasaku y Toshio Masuda brindan el contrapunto japonés, sustituyendo a Akira Kurosawa, que abandonó el rodaje por diferencias con las productoras. La película costó alrededor de 25 millones de dólares, una auténtica barbaridad para la época, y sólo consiguió recaudar catorce. Estas pérdidas supusieron una gran sangría económica para la Fox y la fulminante destitución de su presidente y cofundador, Darryl F. Zanuck, pese a que hoy en día el filme es considerado todo un clásico.","Richard Fleischer, Kinji Fukasuku, Toshio Masuda","Ladislas Farago, Larry Forrester, Ryuzo Kikushima, Hideo Oguni, Gordon W. Prange","Osamu Furuya, Masamichi Satoh, Charles F. Wheeler","Jerry Goldsmith","Otto Lang , Elmo Williams","20th Century Fox , Toei","Martin Balsam, Sô Yamamura, Joseph Cotten , Tatsuya Mihashi, E.G. Marshall, James Whitmore, Takahiro Tamura, Jason Robards"
"2022-10-21 16:41:00","El Toro TV","Llamada salvaje","Call of the wild","1993","Aventuras","Estados Unidos","97","Un intrépido joven decide partir hacia Yukon tras oír grandes historias sobre la zona. Allí conocerá a su gran amigo: un perro alsaciano llamado Buck, junto al que vivirá grandes y apasionantes aventuras. Producción para televisión que recoge de nuevo la historia entre el amo y el perro fiel. Poco valorado por público y crítica, el filme cuenta entre su reparto con grandes figuras de la pequeña pantalla, como el joven Rick Shroeder (''Triunfo amargo'') o el veterano Duncan Fraser, con más de 90 películas a sus espaldas. ''Llamada salvaje'' presenta una curiosidad destacable: su director, Alan Smithee, es en realidad el nombre ficticio que se utiliza cuando los resultados de las producciones no son los esperados. De la misma forma en que algunos se escondían durante la llamada ''Caza de brujas'' en el país, el recurso ha sido recuperado en más de 60 ocasiones en los últimos 30 años para ocultar la verdadera identidad de los cineastas. Concretamente, este director ficticio ''nació'' en 1967 gracias a Robert Totten y Don Siegel, que decidieron retirar su nombre de la película ''Muerte de un pistolero'' al comprobar que los productores habían limitado en exceso su trabajo.","Michael Toshiyuki Uno, Alan Smithee","Christopher Lofton","David Geddes","Lee Holdridge","Alan Jacobs","RHI Entertainment","Rick Schroder, Gordon Tootoosis, Duncan Fraser , Richard Newman, Brent Stait"
"2022-10-21 18:45:00","TRECE","Sombras en el rancho","Tumbleweed","1953","Western","Estados Unidos","79","Jim Harvey es un decidido aventurero joven que es contratado para escoltar una caravanada de carretas que debe atravesar territorio indio. A mitad del viaje son atacados por la tribu del jefe Águila, y sólo la ayuda que Jim prestó al hijo de éste días atrás, parece ser la única opción de librarles de la muerte. Western de serie B dirigido por el austriaco Nathan Juran, anteriormente arquitecto profesional, que en 1942 ganó un Oscar a la mejor dirección artística por ''Qué verde era mi valle'', de John Ford. Después del premio, debutó en el cine como director, especializándose en westerns y filmes de ciencia ficción de bajo presupuesto. La cinta tiene un buen argumento y unas escenas rodadas de una forma muy sencilla. El reparto lo forman Audie Murphy (''Ride a Crooked Trail''), Lori Nelson (''Su gran deseo'') y Chill Wills, nominado a un Oscar en 1961 al mejor actor secundario por ''El Álamo''.","Nathan Juran","John Meredyth Lucas",NA,"Milton Rosen, Herman Stein","Ross Hunter","Universal International Pictures (UI)","Audie Murphy, Lori Nelson , Chill Wills, Roy Roberts , Russell Johnson , K.T. Stevens, Madge Meredith"
"2022-10-21 20:08:00","Paramount Network","Superdetective en Hollywood","Beverly Hills Cop","1984","Comedia","Estados Unidos","105","El excéntrico policía de Detroit Axel Foley se traslada a Beverly Hills para investigar el asesinato de su amigo Mikey. Allí descubre que el presunto asesino trabaja para una galería de arte que, en realidad, es una tapadera de un negocio de drogas. Una comedia de acción que hizo furor en las taquillas de todo el mundo, convirtiendo a su protagonista, el cómico Eddie Murphy, en una gran estrella, con su interminable verborrea y su humor hiperactivo e irreverente. Y eso que, originalmente, el filme estaba pensado para que lo interpretara Sylvester Stallone, quien acabó rechazándolo. La cinta dio pie a la realización de dos secuelas. Stallone no fue el único que no supo ver el éxito que tendría la película. Dos célebres directores también declinaron la propuesta de ponerse detrás de las cámaras: David Cronenberg y Martin Scorsese, este último alegó que la trama le recordaba demasiado a ''La jungla humana''. Finalmente, el proyecto fue a parar a las manos de Martin Brest, que posteriormente obtuvo dos nominaciones al Oscar por ''Esencia de mujer''.","Martin Brest","Danilo Bach, Daniel Petrie Jr.","Bruce Surtees","Harold Faltermeyer","Jerry Bruckheimer, Don Simpson","Paramount Pictures","Eddie Murphy, Judge Reinhold, John Ashton , Ronny Cox, Lisa Eilbacher, Steven Berkoff"
"2022-10-21 21:10:00","Disney Channel","Noche en el museo: El secreto del Faraón","Night at the Museum: Secret of the Tomb","2014","Comedia",NA,"98","La tablilla que cada noche devuelve la vida a los huéspedes del Museo de Historia Natural de Nueva York ha empezado a deteriorarse y la única manera de arreglarla parece estar en el Museo Británico. Larry Daley, el vigilante nocturno, emprende un viaje a Londres para intentar salvar a sus amigos. El canadiense Shawn Levy dirige -como ya había hecho en las dos películas anteriores- la tercera entrega que pone punto y final a la franquicia de comedia y aventuras ''Noche en el museo''. El filme vuelve a estar protagonizado por Ben Stiller (''Los padres de ella''), quien repite con otros actores que participan en la trilogía desde la primera cinta como Robin Williams, Owen Wilson, Steve Coogan o Ricky Gervais, entre otros. Junto a ellos, destaca la incorporación de Dan Steves (''The Guest''), que da vida a Sir Lancelot; Rebel Wilson (''Dando la nota''), quien interpreta a la vigilante del Museo Británico; y Ben Kingsley (''Gandhi'') en el papel de Merenkahre, el padre del faraón Ahkmenrah. La película está dedicada a los actores Mickey Rooney y Robin Williams, que desgraciadamente murieron antes de su estreno.","Shawn Levy","David Guion, Michael Handelman",NA,NA,NA,"Twentieth Century-Fox Film Corporation , 21 Laps Entertainment , 1492 Pictures","Ben Stiller, Robin Williams , Owen Wilson, Steve Coogan, Ricky Gervais, Dan Stevens , Rebel Wilson"
"2022-10-21 22:00:00","La 2","La caja 507","La caja 507","2002","Suspense / Thriller","España","112","Modesto Pardo es el director de una sucursal bancaria que vive destrozado por el fallecimiento de su hija siete años atrás. Un día sufre un atraco y descubre, por casualidad, que la muerte no fue un accidente. A partir de ese momento decide vengarse de los responsables, entre ellos, un violento expolicía que trabaja para la mafia italiana. En 1990, el director Enrique Urbizu rodó ''Todo por la pasta'', un thriller lleno de frescura y humor cínico que, en cierta medida, revolucionó el panorama español del género, tan poco desarrollado hasta la fecha. Más de una década después, Urbizu recuperó a uno de los protagonistas de ese filme, Antonio Resines, para rodar una nueva y aún más elaborada incursión en el cine negro, una historia que él mismo escribió, en colaboración con el guionista Michel Gaztambide (''Vacas'', ''La vida mancha''). ''La caja 507'' obtuvo el premio Sant Jordi a la mejor película española y Enrique Urbizu, el Fotograma de Plata al mejor director. Aunque José Coronado (''Periodistas'') fue candidato al Goya al mejor actor secundario, finalmente el filme no obtuvo el galardón en esa categoría, aunque sí en la de montaje y en la de dirección de producción.","Enrique Urbizu","Enrique Urbizu, Michel Gaztambide","Carles Gusi","Mario de Benito","Fernando Bovaira, Gustavo Ferrada","Canal+ España , Sociedad General de Cine (Sogecine) S.A. , Telemadrid , Televisión Española (TVE) , Iberrota Films","Antonio Resines, José Coronado, Goya Toledo, Sancho Gracia, Dafne Fernández, Javier Coromina"
"2022-10-21 22:00:00","Neox","Bailando con lobos: Montaje del director","Dances with Wolves","1990","Western",NA,"160","Tras ser protagonista involuntario en una victoria ante las tropas sudistas durante la Guerra de Secesión, el teniente John Dunbar, convertido en héroe, solicita el traslado a la frontera del oeste antes de que esta desaparezca. Pronto descubre que el puesto está desierto, sin ningún militar que lo atienda. Poco a poco, Dunbar establecerá fuertes vínculos con una tribu siux que vive en la zona. Ganadora de siete premios Oscar (entre ellos, mejor película, director y guion adaptado), ''Bailando con lobos'' está considerada como uno de los debuts tras la cámara más exitosos del cine. Kevin Costner realizó una ópera prima elocuente y sencilla, con unas maravillosas localizaciones (en Dakota del Sur) y una hermosa banda sonora (también ganadora del Oscar), compuesta por John Barry. Este wéstern idealista tuvo la visión de invertir los papeles tradicionales del género, haciendo de los indios los héroes del relato y de la caballería, los villanos. Algo que, sin embargo, no era nuevo pues ya se había visto en otros filmes anteriores como ''Soldado azul'' o ''Pequeño gran hombre''. El montaje del director añade 44 minutos a los 180 de la versión estrenada originalmente en cines.","Kevin Costner","Michael Blake","Dean Semler","John Barry","Kevin Costner, Jim Wilson","Tig Productions , Majestic Film , Allied Filmmakers","Kevin Costner, Mary McDonnell, Graham Greene , Rodney A. Grant, Robert Pastorelli, Maury Chaykin"
"2022-10-21 22:15:00","La 1","El diario de Noa","The Notebook","2004","Drama","Estados Unidos","123","Dos jóvenes que mantuvieron un romance durante la Segunda Guerra Mundial y que, por diversas circunstancias, se tuvieron que separar, se reencuentran. Ella está enferma y él le lee su diario, donde narra su historia de amor. Nick Cassavetes (''Alpha Dog'', ''John Q''), hijo del legendario actor y cineasta John Cassavetes, dirige este drama basado en la novela romántica homónima del autor de superventas Nicholas Sparks. El largometraje narra, mediante retrospectivas, una historia de amor guiada por el destino y contada a través de las décadas, protagonizada por Noa, interpretado por Ryan Gosling (''Drive'') y James Gardner (''Maverick''); y Allie, encarnada por Rachel McAdams (''De boda en boda'') y Gena Rowland (''Gloria''), madre en la vida real del director. Como curiosidad, Gosling y McAdams decidieron traspasar su romance más allá del celuloide y empezaron una relación sentimental que duró dos años.","Nick Cassavetes","Jeremy Leven","Robert Fraisse","Aaron Zigman",NA,NA,"Ryan Gosling, Rachel McAdams, Gena Rowlands, James Garner , Sam Shepard, Joan Allen, James Marsden"
"2022-10-21 22:20:00","TRECE","Marcado por el odio","Somebody Up There Likes Me","1956","Drama","Estados Unidos","113","El campeón mundial de boxeo de los pesos medios Rocky Graziano es hijo también de un boxeador que hundió su carrera por el alcohol. Rocky creció en un ambiente marginal que le empujó a la delincuencia y acabó en la cárcel. Cuando consiguió la libertad, fue llamado a filas, pero su fuerte temperamento tampoco le facilitó las cosas y fue licenciado sin honor. Buscando una nueva vida, descubrió que la mejor manera de labrarse un futuro era aprovechar el talento de sus puños y convertirse en boxeador. Graziano escribió, junto a Rowland Barber, su autobiografía sobre la que se basó esta película de Robert Wise. Considerada una de las películas más optimistas sobre boxeo, Wise supo elegir a los actores: Pier Angeli, Joseph Buloff, Eileen Heckart, y Paul Newman en su primer papel como protagonista. Newman se entrenó duramente para este papel, contando con la ayuda del mismo Graziano. En roles casi de extra y sin aparecer en los títulos de crédito del filme aparecieron los luego famosos George C. Scott, Steve McQueen y Robert Loggia. A destacar también la fotografía de Joseph Ruttenberg, premiada con un Oscar.","Robert Wise","Ernest Lehman","Joseph Ruttenberg","Bronislau Kaper, Ernest Lehman","Charles Schnee","Warner Bros.","Paul Newman , Anna Maria Pier Angeli, Everett Sloane , Eileen Heckart, Arch Johnson, Sal Mineo"
"2022-10-21 22:30:00","Paramount Network","Superdetective en Hollywood II","Beverly Hills Cop II","1987","Comedia","Estados Unidos","103","El policía de Detroit Axel Foley viaja de nuevo a Beverly Hills para visitar en el hospital a su amigo, el capitán Andrew Bogomil, que ha recibido un disparo. Allí coincide con sus colegas, Billy y Taggart, y los tres emprenden la investigación del caso, a pesar de la oposición del jefe de la policía local. Axel, Billy y Taggart pronto descubren que el intento de asesinato del capitán está relacionado con una serie de robos ocurridos en la zona, planeados por un capo del tráfico de armas, Maxwell Dent. La segunda parte de ''Superdetective en Hollywood'' es tan parecida a la primera que parece más un 'remake' que una secuela. Los productores Jerry Bruckheimer y Don Simpson optaron por encargar el proyecto al director Tony Scott, un año después del éxito que obtuvieron los tres con ''Top Gun''. En esta película, sin embargo, todavía cobran más protagonismo los gags histriónicos del cómico Eddie Murphy, manteniendo el tono de las secuencias de acción. Un filme, en definitiva, hecho a la medida de Eddie Murphy, que volvió a hacer furor en las taquillas de todo el mundo.","Tony Scott","Warren Skaaren, Larry Ferguson","Jeffrey L. Kimball","Harold Faltermeyer, Keith Forsey","Jerry Bruckheimer, Don Simpson","Paramount Pictures , Eddie Murphy Productions","Eddie Murphy, Judge Reinhold, Jürgen Prochnow, Ronny Cox, John Ashton , Brigitte Nielsen"
